GB2312	UTF8	UNICODE	charset 
a6b1	cea1	929	Ρ
a6b2	cea3	931	Σ
a6b3	cea4	932	Τ
a6b4	cea5	933	Υ
a6b5	cea6	934	Φ
a6b6	cea7	935	Χ
a6b7	cea8	936	Ψ
a6b8	cea9	937	Ω
a6c1	ceb1	945	α
a6c2	ceb2	946	β
a6c3	ceb3	947	γ
a6c4	ceb4	948	δ
a6c5	ceb5	949	ε
a6c6	ceb6	950	ζ
a6c7	ceb7	951	η
a6c8	ceb8	952	θ
a6c9	ceb9	953	ι
a6ca	ceba	954	κ
a6cb	cebb	955	λ
a6cc	cebc	956	μ
a6cd	cebd	957	ν
a6ce	cebe	958	ξ
a6cf	cebf	959	ο
a6d0	cf80	960	π
a6d1	cf81	961	ρ
a6d2	cf83	963	σ
a6d3	cf84	964	τ
a6d4	cf85	965	υ
a6d5	cf86	966	φ
a6d6	cf87	967	χ
a6d7	cf88	968	ψ
a6d8	cf89	969	ω
a6e0	efb8b5	65077	︵
a6e1	efb8b6	65078	︶
a6e2	efb8b9	65081	︹
a6e3	efb8ba	65082	︺
a6e4	efb8bf	65087	︿
a6e5	efb980	65088	﹀
a6e6	efb8bd	65085	︽
a6e7	efb8be	65086	︾
a6e8	efb981	65089	﹁
a6e9	efb982	65090	﹂
a6ea	efb983	65091	﹃
a6eb	efb984	65092	﹄
a6ee	efb8bb	65083	︻
a6ef	efb8bc	65084	︼
a6f0	efb8b7	65079	︷
a6f1	efb8b8	65080	︸
a6f2	efb8b1	65073	︱
a6f4	efb8b3	65075	︳
a6f5	efb8b4	65076	︴
a7a1	d090	1040	А
a7a2	d091	1041	Б
a7a3	d092	1042	В
a7a4	d093	1043	Г
a7a5	d094	1044	Д
a7a6	d095	1045	Е
a7a7	d081	1025	Ё
a7a8	d096	1046	Ж
a7a9	d097	1047	З
a7aa	d098	1048	И
a7ab	d099	1049	Й
a7ac	d09a	1050	К
a7ad	d09b	1051	Л
a7ae	d09c	1052	М
a7af	d09d	1053	Н
a7b0	d09e	1054	О
a7b1	d09f	1055	П
a7b2	d0a0	1056	Р
a7b3	d0a1	1057	С
a7b4	d0a2	1058	Т
a7b5	d0a3	1059	У
a7b6	d0a4	1060	Ф
a7b7	d0a5	1061	Х
a7b8	d0a6	1062	Ц
a7b9	d0a7	1063	Ч
a7ba	d0a8	1064	Ш
a7bb	d0a9	1065	Щ
a7bc	d0aa	1066	Ъ
a7bd	d0ab	1067	Ы
a7be	d0ac	1068	Ь
a7bf	d0ad	1069	Э
a7c0	d0ae	1070	Ю
a7c1	d0af	1071	Я
a7d1	d0b0	1072	а
a7d2	d0b1	1073	б
a7d3	d0b2	1074	в
a7d4	d0b3	1075	г
a7d5	d0b4	1076	д
a7d6	d0b5	1077	е
a7d7	d191	1105	ё
a7d8	d0b6	1078	ж
a7d9	d0b7	1079	з
a7da	d0b8	1080	и
a7db	d0b9	1081	й
a7dc	d0ba	1082	к
a7dd	d0bb	1083	л
a7de	d0bc	1084	м
a7df	d0bd	1085	н
a7e0	d0be	1086	о
a7e1	d0bf	1087	п
a7e2	d180	1088	р
a7e3	d181	1089	с
a7e4	d182	1090	т
a7e5	d183	1091	у
a7e6	d184	1092	ф
a7e7	d185	1093	х
a7e8	d186	1094	ц
a7e9	d187	1095	ч
a7ea	d188	1096	ш
a7eb	d189	1097	щ
a7ec	d18a	1098	ъ
a7ed	d18b	1099	ы
a7ee	d18c	1100	ь
a7ef	d18d	1101	э
a7f0	d18e	1102	ю
a7f1	d18f	1103	я
a8a1	c481	257	ā
a8a2	c3a1	225	á
a8a3	c78e	462	ǎ
a8a4	c3a0	224	à
a8a5	c493	275	ē
a8a6	c3a9	233	é
a8a7	c49b	283	ě
a8a8	c3a8	232	è
a8a9	c4ab	299	ī
a8aa	c3ad	237	í
a8ab	c790	464	ǐ
a8ac	c3ac	236	ì
a8ad	c58d	333	ō
a8ae	c3b3	243	ó
a8af	c792	466	ǒ
a8b0	c3b2	242	ò
a8b1	c5ab	363	ū
a8b2	c3ba	250	ú
a8b3	c794	468	ǔ
a8b4	c3b9	249	ù
a8b5	c796	470	ǖ
a8b6	c798	472	ǘ
a8b7	c79a	474	ǚ
a8b8	c79c	476	ǜ
a8b9	c3bc	252	ü
a8ba	c3aa	234	ê
a8bb	c991	593	ɑ
a8bd	c584	324	ń
a8be	c588	328	ň
a8c0	c9a1	609	ɡ
a8c5	e38485	12549	ㄅ
a8c6	e38486	12550	ㄆ
a8c7	e38487	12551	ㄇ
a8c8	e38488	12552	ㄈ
a8c9	e38489	12553	ㄉ
a8ca	e3848a	12554	ㄊ
a8cb	e3848b	12555	ㄋ
a8cc	e3848c	12556	ㄌ
a8cd	e3848d	12557	ㄍ
a8ce	e3848e	12558	ㄎ
a8cf	e3848f	12559	ㄏ
a8d0	e38490	12560	ㄐ
a8d1	e38491	12561	ㄑ
a8d2	e38492	12562	ㄒ
a8d3	e38493	12563	ㄓ
a8d4	e38494	12564	ㄔ
a8d5	e38495	12565	ㄕ
a8d6	e38496	12566	ㄖ
a8d7	e38497	12567	ㄗ
a8d8	e38498	12568	ㄘ
a8d9	e38499	12569	ㄙ
a8da	e3849a	12570	ㄚ
a8db	e3849b	12571	ㄛ
a8dc	e3849c	12572	ㄜ
a8dd	e3849d	12573	ㄝ
a8de	e3849e	12574	ㄞ
a8df	e3849f	12575	ㄟ
a8e0	e384a0	12576	ㄠ
a8e1	e384a1	12577	ㄡ
a8e2	e384a2	12578	ㄢ
a8e3	e384a3	12579	ㄣ
a8e4	e384a4	12580	ㄤ
a8e5	e384a5	12581	ㄥ
a8e6	e384a6	12582	ㄦ
a8e7	e384a7	12583	ㄧ
a8e8	e384a8	12584	ㄨ
a8e9	e384a9	12585	ㄩ
a9a4	e29480	9472	─
a9a5	e29481	9473	━
a9a6	e29482	9474	│
a9a7	e29483	9475	┃
a9a8	e29484	9476	┄
a9a9	e29485	9477	┅
a9aa	e29486	9478	┆
a9ab	e29487	9479	┇
a9ac	e29488	9480	┈
a9ad	e29489	9481	┉
a9ae	e2948a	9482	┊
a9af	e2948b	9483	┋
a9b0	e2948c	9484	┌
a9b1	e2948d	9485	┍
a9b2	e2948e	9486	┎
a9b3	e2948f	9487	┏
a9b4	e29490	9488	┐
a9b5	e29491	9489	┑
a9b6	e29492	9490	┒
a9b7	e29493	9491	┓
a9b8	e29494	9492	└
a9b9	e29495	9493	┕
a9ba	e29496	9494	┖
a9bb	e29497	9495	┗
a9bc	e29498	9496	┘
a9bd	e29499	9497	┙
a9be	e2949a	9498	┚
a9bf	e2949b	9499	┛
a9c0	e2949c	9500	├
a9c1	e2949d	9501	┝
a9c2	e2949e	9502	┞
a9c3	e2949f	9503	┟
a9c4	e294a0	9504	┠
a9c5	e294a1	9505	┡
a9c6	e294a2	9506	┢
a9c7	e294a3	9507	┣
a9c8	e294a4	9508	┤
a9c9	e294a5	9509	┥
a9ca	e294a6	9510	┦
a9cb	e294a7	9511	┧
a9cc	e294a8	9512	┨
a9cd	e294a9	9513	┩
a9ce	e294aa	9514	┪
a9cf	e294ab	9515	┫
a9d0	e294ac	9516	┬
a9d1	e294ad	9517	┭
a9d2	e294ae	9518	┮
a9d3	e294af	9519	┯
a9d4	e294b0	9520	┰
a9d5	e294b1	9521	┱
a9d6	e294b2	9522	┲
a9d7	e294b3	9523	┳
a9d8	e294b4	9524	┴
a9d9	e294b5	9525	┵
a9da	e294b6	9526	┶
a9db	e294b7	9527	┷
a9dc	e294b8	9528	┸
a9dd	e294b9	9529	┹
a9de	e294ba	9530	┺
a9df	e294bb	9531	┻
a9e0	e294bc	9532	┼
a9e1	e294bd	9533	┽
a9e2	e294be	9534	┾
a9e3	e294bf	9535	┿
a9e4	e29580	9536	╀
a9e5	e29581	9537	╁
a9e6	e29582	9538	╂
a9e7	e29583	9539	╃
a9e8	e29584	9540	╄
a9e9	e29585	9541	╅
a9ea	e29586	9542	╆
a9eb	e29587	9543	╇
a9ec	e29588	9544	╈
a9ed	e29589	9545	╉
a9ee	e2958a	9546	╊
a9ef	e2958b	9547	╋
b0a1	e5958a	21834	啊
b0a2	e998bf	38463	阿
b0a3	e59f83	22467	埃
b0a4	e68ca8	25384	挨
b0a5	e5938e	21710	哎
b0a6	e59489	21769	唉
b0a7	e59380	21696	哀
b0a8	e79a91	30353	皑
b0a9	e7998c	30284	癌
b0aa	e894bc	34108	蔼
b0ab	e79fae	30702	矮
b0ac	e889be	33406	艾
b0ad	e7a28d	30861	碍
b0ae	e788b1	29233	爱
b0af	e99a98	38552	隘
b0b0	e99e8d	38797	鞍
b0b1	e6b0a8	27688	氨
b0b2	e5ae89	23433	安
b0b3	e4bfba	20474	俺
b0b4	e68c89	25353	按
b0b5	e69a97	26263	暗
b0b6	e5b2b8	23736	岸
b0b7	e883ba	33018	胺
b0b8	e6a188	26696	案
b0b9	e882ae	32942	肮
b0ba	e69882	26114	昂
b0bb	e79b8e	30414	盎
b0bc	e587b9	20985	凹
b0bd	e69596	25942	敖
b0be	e786ac	29100	熬
b0bf	e7bfb1	32753	翱
b0c0	e8a284	34948	袄
b0c1	e582b2	20658	傲
b0c2	e5a5a5	22885	奥
b0c3	e6878a	25034	懊
b0c4	e6beb3	28595	澳
b0c5	e88aad	33453	芭
b0c6	e68d8c	25420	捌
b0c7	e68992	25170	扒
b0c8	e58fad	21485	叭
b0c9	e590a7	21543	吧
b0ca	e7ac86	31494	笆
b0cb	e585ab	20843	八
b0cc	e796a4	30116	疤
b0cd	e5b7b4	24052	巴
b0ce	e68b94	25300	拔
b0cf	e8b78b	36299	跋
b0d0	e99db6	38774	靶
b0d1	e68a8a	25226	把
b0d2	e88099	32793	耙
b0d3	e59d9d	22365	坝
b0d4	e99cb8	38712	霸
b0d5	e7bda2	32610	罢
b0d6	e788b8	29240	爸
b0d7	e799bd	30333	白
b0d8	e69f8f	26575	柏
b0d9	e799be	30334	百
b0da	e69186	25670	摆
b0db	e4bdb0	20336	佰
b0dc	e8b4a5	36133	败
b0dd	e68b9c	25308	拜
b0de	e7a897	31255	稗
b0df	e69691	26001	斑
b0e0	e78fad	29677	班
b0e1	e690ac	25644	搬
b0e2	e689b3	25203	扳
b0e3	e888ac	33324	般
b0e4	e9a281	39041	颁
b0e5	e69dbf	26495	板
b0e6	e78988	29256	版
b0e7	e689ae	25198	扮
b0e8	e68b8c	25292	拌
b0e9	e4bcb4	20276	伴
b0ea	e793a3	29923	瓣
b0eb	e58d8a	21322	半
b0ec	e58a9e	21150	办
b0ed	e7bb8a	32458	绊
b0ee	e982a6	37030	邦
b0ef	e5b8ae	24110	帮
b0f0	e6a286	26758	梆
b0f1	e6a69c	27036	榜
b0f2	e88680	33152	膀
b0f3	e7bb91	32465	绑
b0f4	e6a392	26834	棒
b0f5	e7a385	30917	磅
b0f6	e89a8c	34444	蚌
b0f7	e99591	38225	镑
b0f8	e5828d	20621	傍
b0f9	e8b0a4	35876	谤
b0fa	e88b9e	33502	苞
b0fb	e8839e	32990	胞
b0fc	e58c85	21253	包
b0fd	e8a492	35090	褒
b0fe	e589a5	21093	剥
b1a1	e89684	34180	薄
b1a2	e99bb9	38649	雹
b1a3	e4bf9d	20445	保
b1a4	e5a0a1	22561	堡
b1a5	e9a5b1	39281	饱
b1a6	e5ae9d	23453	宝
b1a7	e68ab1	25265	抱
b1a8	e68aa5	25253	报
b1a9	e69ab4	26292	暴
b1aa	e8b1b9	35961	豹
b1ab	e9b28d	40077	鲍
b1ac	e78886	29190	爆
b1ad	e69daf	26479	杯
b1ae	e7a291	30865	碑
b1af	e682b2	24754	悲
b1b0	e58d91	21329	卑
b1b1	e58c97	21271	北
b1b2	e8be88	36744	辈
b1b3	e8838c	32972	背
b1b4	e8b49d	36125	贝
b1b5	e992a1	38049	钡
b1b6	e5808d	20493	倍
b1b7	e78b88	29384	狈
b1b8	e5a487	22791	备
b1b9	e683ab	24811	惫
b1ba	e78499	28953	焙
b1bb	e8a2ab	34987	被
b1bc	e5a594	22868	奔
b1bd	e88baf	33519	苯
b1be	e69cac	26412	本
b1bf	e7aca8	31528	笨
b1c0	e5b4a9	23849	崩
b1c1	e7bbb7	32503	绷
b1c2	e794ad	29997	甭
b1c3	e6b3b5	27893	泵
b1c4	e8b9a6	36454	蹦
b1c5	e8bfb8	36856	迸
b1c6	e980bc	36924	逼
b1c7	e9bcbb	40763	鼻
b1c8	e6af94	27604	比
b1c9	e98499	37145	鄙
b1ca	e7ac94	31508	笔
b1cb	e5bdbc	24444	彼
b1cc	e7a2a7	30887	碧
b1cd	e89396	34006	蓖
b1ce	e894bd	34109	蔽
b1cf	e6af95	27605	毕
b1d0	e6af99	27609	毙
b1d1	e6af96	27606	毖
b1d2	e5b881	24065	币
b1d3	e5ba87	24199	庇
b1d4	e797b9	30201	痹
